Value,Frequency
28,1
65,1
96,1
97,2
98,3
99,6
100,14
101,20
102,17
103,25
104,31
105,23
106,24
107,12
108,19
109,16
110,30
111,25
112,14
113,14
114,21
115,18
116,10
117,10
118,16
119,22
120,27
121,32
122,21
123,24
124,25
125,28
126,28
127,26
128,29
129,29
130,32
131,32
132,20
133,15
134,12
135,15
136,2
137,2
138,7
139,16
140,3
142,2
143,2
144,14
145,8
146,9
147,11
148,9
149,17
150,15
151,14
152,19
153,15
154,16
155,21
156,8
157,8
158,10
159,11
160,13
161,14
162,15
163,21
164,35
165,15
166,14
167,17
168,14
169,15
170,30
171,6
172,2
173,3
174,2
175,4
176,6
177,3
178,1
